capacity_mw,reg_dt,temp,precip_mm,relhumid,snow_mm,windspd,cumulus_10th,cumulus_3rd,sun_duration_hr,extra_rad,rad,gen_mwh,is_leapyr
179.516,2020-01-01 0:00,-6.5,0,66,0,0.7,0,1,0,0,0,0,Y
179.516,2020-01-01 1:00,-6.6,0,64,0,1.3,0,1,0,0,0,0,Y
179.516,2020-01-01 2:00,-6.9,0,68,0,1.5,9,3,0,0,0,0,Y
179.516,2020-01-01 3:00,-6.5,0,67,0,1.4,9,3,0,0,0,0,Y
179.516,2020-01-01 4:00,-5.7,0,67,0,0.8,9,3,0,0,0,0,Y
179.516,2020-01-01 5:00,-5.4,0,66,0,0.8,9,3,0,0,0,0,Y
179.516,2020-01-01 6:00,-5,0,67,0,0.3,9,3,0,0,0,0,Y
179.516,2020-01-01 7:00,-4.9,0,68,0,1.1,9,3,0,0,0,0.01,Y
179.516,2020-01-01 8:00,-4.5,0,69,0,0.9,9,3,0,0.24,0,1.39,Y
179.516,2020-01-01 9:00,-4,0,70,0,0.4,9,3,0,1.09,0.02,8.93,Y
179.516,2020-01-01 10:00,-3.5,0,69,0,0.7,9,3,0,1.78,0.28,16.25,Y
179.516,2020-01-01 11:00,-2.3,0,66,0,0.3,9,3,0,2.27,0.69,25.63,Y
179.516,2020-01-01 12:00,-1.3,0,67,0,0.3,9,3,0.1,2.52,0.85,30.47,Y
179.516,2020-01-01 13:00,0.6,0,61,0,0.6,9,3,0.3,2.52,1.14,24.91,Y
179.516,2020-01-01 14:00,1,0,62,0,1.7,9,3,0,2.27,0.61,22.57,Y
179.516,2020-01-01 15:00,0.3,0,70,0,0.7,9,3,0,1.78,0.64,14.56,Y
179.516,2020-01-01 16:00,0.6,0,70,0,0.6,9,3,0,1.09,0.3,8.39,Y
179.516,2020-01-01 17:00,0.3,0,72,0,0,9,3,0,0.24,0.12,5.9,Y
179.516,2020-01-01 18:00,0.1,0,76,0,0.1,9,3,0,0,0.02,9.99,Y
179.516,2020-01-01 19:00,0.1,0,79,0,0,9,3,0,0,0,16.65,Y
179.516,2020-01-01 20:00,0,0,80,0,0.2,7,2,0,0,0,5.85,Y
179.516,2020-01-01 21:00,-0.4,0,81,0,0.2,8,2,0,0,0,2.25,Y
179.516,2020-01-01 22:00,-0.4,0,81,0,0.2,9,3,0,0,0,0.05,Y
179.516,2020-01-01 23:00,-0.3,0,80,0,0.3,0,1,0,0,0,0,Y
179.516,2020-01-02 0:00,-0.4,0,81,0,0.8,8,2,0,0,0,0,Y
179.516,2020-01-02 1:00,-0.5,0,82,0,0,6,2,0,0,0,0,Y
179.516,2020-01-02 2:00,-0.7,0,83,0,0,1,1,0,0,0,0,Y
179.516,2020-01-02 3:00,-0.9,0,84,0,0.2,8,2,0,0,0,0,Y
179.516,2020-01-02 4:00,-0.7,0,81,0,0,8,2,0,0,0,0,Y
179.516,2020-01-02 5:00,-0.3,0,83,0,0.9,9,3,0,0,0,0,Y
179.516,2020-01-02 6:00,-0.5,0,84,0,0,9,3,0,0,0,0,Y
179.516,2020-01-02 7:00,-0.4,0,83,0,0,9,3,0,0,0,0.01,Y
179.516,2020-01-02 8:00,0,0,84,0,0,9,3,0,0.25,0,2.08,Y
179.516,2020-01-02 9:00,0.6,0,80,0,0,9,3,0,1.1,0.05,9.13,Y
179.516,2020-01-02 10:00,0.8,0,78,0,0,9,3,0,1.79,0.15,14.57,Y
179.516,2020-01-02 11:00,1.5,0,77,0,0,9,3,0,2.28,0.41,17.18,Y
179.516,2020-01-02 12:00,1.8,0,74,0,0,9,3,0,2.53,0.34,16.88,Y
179.516,2020-01-02 13:00,2.5,0,67,0,0,9,3,0,2.53,0.39,15.55,Y
179.516,2020-01-02 14:00,3,0,68,0,0,9,3,0,2.28,0.43,10.01,Y
179.516,2020-01-02 15:00,3.4,0,67,0,0.5,9,3,0,1.79,0.25,4.74,Y
179.516,2020-01-02 16:00,3.4,0,66,0,0,9,3,0,1.1,0.11,2.97,Y
179.516,2020-01-02 17:00,3.2,0,68,0,0,9,3,0,0.25,0.03,2.8,Y
179.516,2020-01-02 18:00,3.2,0,68,0,0,9,3,0,0,0,7.9,Y
179.516,2020-01-02 19:00,3.5,0,69,0,0,5,1,0,0,0,10.85,Y
179.516,2020-01-02 20:00,2.8,0,73,0,0,7,2,0,0,0,0.71,Y
179.516,2020-01-02 21:00,2.7,0,74,0,0,8,2,0,0,0,0.05,Y
179.516,2020-01-02 22:00,2.5,0,73,0,0,0,1,0,0,0,0,Y
179.516,2020-01-02 23:00,2.7,0,73,0,0.6,0,1,0,0,0,0,Y
179.516,2020-01-03 0:00,2.6,0,74,0,0,8,2,0,0,0,0,Y
179.516,2020-01-03 1:00,1.7,0,80,0,0,9,3,0,0,0,0,Y
179.516,2020-01-03 2:00,0.6,0,84,0,0,10,3,0,0,0,0,Y
179.516,2020-01-03 3:00,1,0,84,0,0,8,2,0,0,0,0,Y
179.516,2020-01-03 4:00,1,0,83,0,0,7,2,0,0,0,0,Y
179.516,2020-01-03 5:00,0.6,0,84,0,0,8,2,0,0,0,0,Y
179.516,2020-01-03 6:00,0.3,0,85,0,0,6,2,0,0,0,0,Y
179.516,2020-01-03 7:00,-0.1,0,86,0,0,5,1,0,0,0,0.04,Y
179.516,2020-01-03 8:00,-0.2,0,87,0,0,3,1,0,0.25,0,5.69,Y
179.516,2020-01-03 9:00,0.1,0,84,0,0.6,1,1,0,1.1,0.17,19.56,Y
179.516,2020-01-03 10:00,1.1,0,80,0,0.4,3,1,0.5,1.79,0.51,30.91,Y
179.516,2020-01-03 11:00,2.4,0,75,0,0.4,7,2,0.2,2.28,0.79,49.74,Y
179.516,2020-01-03 12:00,3.6,0,68,0,1.4,3,1,0.2,2.54,0.84,58,Y
179.516,2020-01-03 13:00,4.5,0,61,0,2.8,2,1,0.8,2.54,1.49,62.58,Y
179.516,2020-01-03 14:00,5,0,56,0,2.2,0,1,1,2.28,1.54,56.96,Y
179.516,2020-01-03 15:00,5.5,0,52,0,1.7,1,1,1,1.79,1.33,37.04,Y
179.516,2020-01-03 16:00,5.6,0,48,0,1.9,0,1,1,1.1,0.86,16.58,Y
179.516,2020-01-03 17:00,4.6,0,51,0,1.7,1,1,0.7,0.25,0.33,10.09,Y
179.516,2020-01-03 18:00,3.5,0,52,0,0.9,0,1,0,0,0,17.83,Y
179.516,2020-01-03 19:00,3,0,52,0,0.8,0,1,0,0,0,26.32,Y
179.516,2020-01-03 20:00,2.2,0,57,0,0.3,0,1,0,0,0,21.25,Y
179.516,2020-01-03 21:00,1.5,0,59,0,0.1,0,1,0,0,0,10.09,Y
179.516,2020-01-03 22:00,1,0,62,0,0,0,1,0,0,0,0.53,Y
179.516,2020-01-03 23:00,0.6,0,65,0,0,0,1,0,0,0,0.05,Y
179.516,2020-01-04 0:00,-0.2,0,70,0,0,0,1,0,0,0,0,Y
179.516,2020-01-04 1:00,-0.9,0,73,0,0,3,1,0,0,0,0,Y
179.516,2020-01-04 2:00,-1.3,0,74,0,0.6,0,1,0,0,0,0,Y
179.516,2020-01-04 3:00,-1.6,0,76,0,0.4,0,1,0,0,0,0,Y
179.516,2020-01-04 4:00,-2.1,0,78,0,0.6,0,1,0,0,0,0,Y
179.516,2020-01-04 5:00,-2.3,0,78,0,0,0,1,0,0,0,0,Y
179.516,2020-01-04 6:00,-2.8,0,84,0,0,0,1,0,0,0,0,Y
179.516,2020-01-04 7:00,-3.5,0,86,0,0,2,1,0,0,0,0.08,Y
179.516,2020-01-04 8:00,-2.4,0,82,0,0,7,2,0,0.26,0,5.63,Y
179.516,2020-01-04 9:00,-1.8,0,78,0,0,8,2,0.1,1.11,0.25,15.87,Y
179.516,2020-01-04 10:00,-1.4,0,82,0,0.5,9,3,0,1.8,0.26,21.22,Y
179.516,2020-01-04 11:00,0.1,0,77,0,0.2,8,2,0,2.29,0.42,44,Y
179.516,2020-01-04 12:00,2.4,0,68,0,0.4,3,1,0.7,2.54,1.28,52.64,Y
179.516,2020-01-04 13:00,4.5,0,65,0,1.3,6,2,0.5,2.54,1.33,54.34,Y
179.516,2020-01-04 14:00,5.5,0,60,0,1.4,0,1,1,2.29,1.59,54.34,Y
179.516,2020-01-04 15:00,6.7,0,55,0,1.9,0,1,1,1.8,1.25,35.25,Y
179.516,2020-01-04 16:00,7,0,43,0,1.6,0,1,1,1.11,0.81,16.66,Y
179.516,2020-01-04 17:00,6.4,0,41,0,1.6,0,1,0.7,0.26,0.34,10.59,Y
179.516,2020-01-04 18:00,4.9,0,49,0,1.2,0,1,0,0,0,18.09,Y
179.516,2020-01-04 19:00,4.1,0,49,0,1.2,0,1,0,0,0,25.68,Y
179.516,2020-01-04 20:00,3.9,0,56,0,2.6,0,1,0,0,0,20.66,Y
179.516,2020-01-04 21:00,2.9,0,61,0,0.7,0,1,0,0,0,8.68,Y
179.516,2020-01-04 22:00,2,0,66,0,0.2,0,1,0,0,0,0.32,Y
179.516,2020-01-04 23:00,0.8,0,70,0,0.7,0,1,0,0,0,0,Y
179.516,2020-01-05 0:00,0,0,72,0,1.2,0,1,0,0,0,0.01,Y
179.516,2020-01-05 1:00,-0.5,0,74,0,0,0,1,0,0,0,0,Y
179.516,2020-01-05 2:00,-1.3,0,77,0,0.6,0,1,0,0,0,0,Y
179.516,2020-01-05 3:00,-1.5,0,78,0,0.8,0,1,0,0,0,0,Y
179.516,2020-01-05 4:00,-2,0,79,0,0,0,1,0,0,0,0,Y
179.516,2020-01-05 5:00,-2.3,0,81,0,0,0,1,0,0,0,0,Y
179.516,2020-01-05 6:00,-3.5,0,85,0,0,0,1,0,0,0,0,Y
179.516,2020-01-05 7:00,-3.5,0,85,0,0,0,1,0,0,0,0.09,Y
179.516,2020-01-05 8:00,-3.8,0,85,0,0,0,1,0,0.27,0,7.94,Y
179.516,2020-01-05 9:00,-2.5,0,81,0,0,0,1,0.9,1.11,0.4,34.86,Y
179.516,2020-01-05 10:00,-0.5,0,73,0,0,0,1,1,1.81,1.15,50.42,Y
179.516,2020-01-05 11:00,1.7,0,67,0,0,0,1,1,2.3,1.6,65.55,Y
179.516,2020-01-05 12:00,3.5,0,56,0,1,4,1,1,2.55,1.75,71.98,Y
179.516,2020-01-05 13:00,4.8,0,43,0,1.2,3,1,1,2.55,1.83,72.62,Y
179.516,2020-01-05 14:00,5.5,0,35,0,1.1,6,2,1,2.3,1.61,61.55,Y
179.516,2020-01-05 15:00,6.3,0,36,0,1.2,7,2,1,1.81,1.33,30.88,Y
179.516,2020-01-05 16:00,6.3,0,34,0,0.8,7,2,0.7,1.11,0.63,14.73,Y
179.516,2020-01-05 17:00,5.8,0,32,0,0.3,7,2,0,0.27,0.22,11.13,Y
179.516,2020-01-05 18:00,4.9,0,35,0,0.2,8,2,0,0,0.01,19.28,Y
179.516,2020-01-05 19:00,4.4,0,36,0,0.3,10,3,0,0,0,26.8,Y
179.516,2020-01-05 20:00,4,0,41,0,0.1,10,3,0,0,0,22.15,Y
179.516,2020-01-05 21:00,2.7,0,47,0,0.3,7,2,0,0,0,12.07,Y
179.516,2020-01-05 22:00,2,0,51,0,0.7,10,3,0,0,0,1.53,Y
179.516,2020-01-05 23:00,1.1,0,58,0,0.3,9,3,0,0,0,0.11,Y
179.516,2020-01-06 0:00,1.1,0,58,0,0,6,2,0,0,0,0.01,Y
179.516,2020-01-06 1:00,0.6,0,60,0,0.9,10,3,0,0,0,0,Y
179.516,2020-01-06 2:00,1.1,0,59,0,1.1,9,3,0,0,0,0,Y
179.516,2020-01-06 3:00,1,0,59,0,0.9,10,3,0,0,0,0,Y
179.516,2020-01-06 4:00,1,0,60,0,0.6,9,3,0,0,0,0,Y
179.516,2020-01-06 5:00,1.3,0,58,0,0.6,9,3,0,0,0,0,Y
179.516,2020-01-06 6:00,1.6,0,59,0,0.3,10,3,0,0,0,0,Y
179.516,2020-01-06 7:00,1.5,0,61,0,0.2,10,3,0,0,0,0,Y
179.516,2020-01-06 8:00,2.2,0,61,0,0.4,10,3,0,0.27,0,1.1,Y
179.516,2020-01-06 9:00,2.5,0,70,0,0.6,10,3,0,1.12,0.03,5.04,Y
179.516,2020-01-06 10:00,2.2,0,75,0,1.3,10,3,0,1.81,0.14,9.55,Y
179.516,2020-01-06 11:00,2.9,0,69,0,0.5,10,3,0,2.3,0.43,9.06,Y
179.516,2020-01-06 12:00,2.5,0.1,80,0,0.4,10,3,0,2.56,0.21,11.59,Y
179.516,2020-01-06 13:00,2.9,0,82,0,0.2,10,3,0,2.56,0.26,9.71,Y
179.516,2020-01-06 14:00,3.2,0,84,0,0.2,10,3,0,2.3,0.22,6.79,Y
179.516,2020-01-06 15:00,3.4,0.2,86,0,1,10,3,0,1.81,0.21,3.25,Y
